Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.35,-.13,-.01,-.81,-.46,-.26,-.15,-.10,-.03,.05,.65
1881,-.08,-.17,.01,-.33,.10,-.06,-.92,-.43,-.18,.10,.11,-.05,-.07,.58
1882,-.10,-.20,-.01,-.29,-.05,.02,-1.42,-.25,-.12,-.05,-.05,.02,.04,.61
1883,-.16,-.27,-.06,-.32,-.16,-.01,-.20,-.53,-.22,-.18,-.15,-.03,.07,.48
1884,-.28,-.42,-.15,-.59,-.15,-.14,-1.31,-.62,-.44,-.13,-.16,-.19,-.02,.63
1885,-.33,-.43,-.24,-.64,-.13,-.27,-1.52,-.67,-.45,-.06,-.20,-.33,-.15,.80
1886,-.31,-.42,-.20,-.56,-.19,-.21,-1.59,-.48,-.39,-.21,-.18,-.20,-.20,.57
1887,-.36,-.43,-.28,-.51,-.30,-.28,-1.77,-.49,-.28,-.29,-.30,-.27,-.26,.30
1888,-.17,-.23,-.12,-.41,.10,-.29,-1.31,-.41,-.23,.07,.12,-.31,-.22,.14
1889,-.10,-.17,-.04,-.28,.08,-.16,-.69,-.21,-.27,.02,.14,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.37,-.22,-1.14,-.54,-.27,-.27,-.47,-.17,-.27,.13
1891,-.22,-.25,-.19,-.42,-.07,-.21,-1.13,-.32,-.36,.01,-.16,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.43,-.30,-.08,-1.16,-.64,-.17,-.34,-.26,.03,-.21,.07
1893,-.31,-.48,-.15,-.51,-.36,-.04,-.71,-.54,-.47,-.42,-.30,.07,-.20,-.06
1894,-.30,-.39,-.21,-.33,-.33,-.24,-.97,-.33,-.18,-.49,-.17,-.14,-.35,-.40
1895,-.23,-.30,-.15,-.40,-.07,-.26,-.68,-.52,-.27,-.15,.01,-.19,-.32,-.60
1896,-.11,-.19,-.03,-.35,.09,-.15,-.89,-.36,-.22,.05,.14,-.15,-.13,.23
1897,-.11,-.16,-.05,-.35,.17,-.23,-.58,-.46,-.24,.13,.21,-.18,-.27,.38
1898,-.27,-.28,-.26,-.33,-.22,-.26,-1.15,-.19,-.23,-.19,-.26,-.27,-.21,.36
1899,-.17,-.21,-.14,-.24,-.12,-.18,-1.07,-.08,-.15,-.16,-.07,-.15,-.22,.56
1900,-.08,-.09,-.06,-.19,.17,-.30,-.56,-.12,-.15,.08,.26,-.28,-.29,.25
1901,-.15,-.13,-.17,-.16,-.03,-.30,-.42,-.10,-.15,-.07,.00,-.27,-.33,.24
1902,-.27,-.33,-.22,-.52,-.03,-.34,-1.34,-.50,-.33,-.02,-.04,-.28,-.43,-.07
1903,-.37,-.37,-.36,-.46,-.28,-.38,-.22,-.41,-.56,-.24,-.33,-.35,-.40,-.48
1904,-.47,-.48,-.45,-.50,-.46,-.44,-.17,-.59,-.55,-.44,-.48,-.37,-.49,-1.30
1905,-.26,-.29,-.22,-.41,-.08,-.35,-.09,-.22,-.62,-.12,-.04,-.32,-.37,-.32
1906,-.22,-.24,-.20,-.26,-.19,-.23,-.30,-.06,-.39,-.21,-.17,-.20,-.22,-.70
1907,-.38,-.47,-.29,-.59,-.30,-.29,-.60,-.72,-.51,-.31,-.30,-.21,-.36,-1.18
