id_student,semester_1_avg,semester_2_avg,note
14010996865,9.73,8.96,9.35
14010996885,5.73,2.03,3.88
14010996885,9.77,9.1,9.44
14010996892,9.63,10.48,10.06
14010996899,10.28,10.37,10.33
14010996905,10.1,9.81,9.96
14010996907,8.55,9.1,8.83
14010996922,9.16,7.75,8.46
14010996922,9.02,9.55,9.29
14010996947,10.05,9.81,9.93
14010996949,10.51,8.56,9.54
14011097084,8.3,8.27,8.29
14011097092,10.2,9.84,10.02
14011097098,10.09,10.18,10.14
14011097102,9.5,9.38,9.44
14011097112,9.94,11.48,10.71
14011097114,11.1,10.63,10.87
14011097118,10.75,9.25,10
14011097122,10.27,9.58,9.93
14011097124,12.62,10.85,11.74
14011097130,11.52,10.44,10.98
14011097136,9.98,9.39,9.69
14011097138,9.44,8.62,9.03
14011097138,10.49,11.04,10.77
14011097140,10.82,9.2,10.01
14011097142,8.93,8.31,8.62
14011097144,10.64,9.55,10.1
14011097150,5.32,2.08,3.7
14011097150,9.62,8.51,9.07
14011097152,11.21,7.63,9.42
14011097154,11.29,9.98,10.64
14011097156,10.12,8.18,9.15
14011097156,10.12,7.99,9.06
14011097163,8.83,7.64,8.24
14011097163,9.96,9.71,9.84
14011097169,9.95,6.89,8.42
14011097169,10.03,10.18,10.11
14011097177,9.01,5.74,7.38
14011097177,10.2,9.12,9.66
14011097179,5.53,1.21,3.37
14011097179,9.48,7.05,8.27
14011097185,11.36,9.21,10.29
14011097191,9.21,9.62,9.42
14011097191,8.93,9.01,8.97
14011097193,12.73,11.72,12.23
14011097195,9.76,10.65,10.21
14011097197,9.91,9.7,9.81
14011097201,9.92,8.5,9.21
14011097201,9.91,10.33,10.12
14011097203,0.68,0,0.34
14011097203,15.04,15.13,15.09
14011097205,10.81,8.94,9.88
14011097209,7.53,5.27,6.4
14011097209,8.19,8.21,8.2
14011097215,13.12,11.65,12.39
14011097217,9.97,7.38,8.68
14011097217,10.1,8.84,9.47
14011097222,11.18,9.75,10.47
14011097224,11.1,9.68,10.39
